date,time,open,high,low,close,volumn
20200729,2100,12397,12430,12397,12419,34
20200729,2200,12420,12436,12414,12423,27
20200729,2300,12423,12495,12423,12495,45
20200730,0000,12490,12516,12486,12502,37
20200730,0100,12502,12507,12500,12507,10
20200730,0200,12506,12560,12432,12432,50
20200730,0300,12430,12592,12430,12592,31
20200730,0400,12583,12589,12544,12581,8
20200730,0500,12583,12585,12573,12584,9
20200730,0945,12583,12583,12465,12500,199
20200730,1045,12497,12500,12433,12469,105
20200730,1145,12470,12522,12469,12522,82
20200730,1245,12523,12538,12502,12526,52
20200730,1345,12530,12540,12495,12537,65
20200731,1600,12583,12600,12562,12582,2306
20200731,1700,12583,12593,12575,12584,792
20200731,1800,12585,12586,12558,12559,1146
20200731,1900,12560,12579,12558,12574,630
20200731,2000,12574,12587,12573,12581,613
20200731,2100,12581,12586,12575,12583,480
20200731,2200,12583,12592,12553,12572,2940
20200731,2300,12571,12573,12482,12505,6549
20200801,0000,12504,12535,12492,12500,3082
20200801,0100,12499,12500,12455,12465,3538
20200801,0200,12465,12504,12457,12471,1938
20200801,0300,12471,12500,12461,12494,1138
20200801,0400,12495,12545,12493,12542,2255
20200801,0500,12542,12555,12537,12550,1021
20200803,0945,12550,12567,12488,12521,22334
20200803,1045,12521,12530,12425,12436,18991
20200803,1145,12435,12461,12408,12451,11205
20200803,1245,12449,12452,12405,12411,7023
20200803,1345,12411,12444,12410,12443,7663
20200803,1600,12425,12432,12371,12395,4033
20200803,1700,12394,12410,12382,12397,1427
20200803,1800,12398,12411,12389,12411,1223
20200803,1900,12411,12468,12410,12453,3162
20200803,2000,12453,12464,12442,12460,1150
20200803,2100,12461,12467,12444,12448,1025
20200803,2200,12448,12493,12425,12489,4906
20200803,2300,12489,12506,12466,12475,3325
20200804,0000,12475,12492,12471,12473,1291
20200804,0100,12474,12479,12470,12474,552
20200804,0200,12475,12494,12472,12474,726
20200804,0300,12475,12500,12474,12495,401
20200804,0400,12495,12502,12477,12497,560
20200804,0500,12497,12497,12485,12492,366
20200804,0945,12492,12557,12489,12521,21908
20200804,1045,12520,12585,12520,12541,14840
20200804,1145,12540,12571,12535,12560,5001
20200804,1245,12560,12580,12555,12571,3750
20200804,1345,12572,12632,12569,12629,10079
20200804,1600,12662,12684,12641,12645,3574
20200804,1700,12646,12654,12628,12644,2258
20200804,1800,12644,12664,12643,12654,1030
20200804,1900,12655,12661,12646,12660,601
20200804,2000,12661,12665,12636,12649,1002
20200804,2100,12648,12650,12630,12637,1070
20200804,2200,12636,12672,12630,12664,2572
20200804,2300,12664,12679,12647,12676,2111
20200805,0000,12675,12676,12652,12658,1439
20200805,0100,12657,12661,12638,12653,1055
20200805,0200,12653,12663,12645,12662,322
20200805,0300,12662,12669,12640,12664,562
20200805,0400,12664,12691,12661,12690,1118
20200805,0500,12691,12698,12685,12692,901
20200805,0945,12692,12723,12668,12670,20141
20200805,1045,12669,12704,12643,12703,12322
20200805,1145,12702,12730,12696,12727,7559
20200805,1245,12727,12735,12712,12730,4374
20200805,1345,12730,12746,12700,12744,8208
20200805,1600,12755,12796,12753,12790,2971
20200805,1700,12790,12792,12771,12781,1096
20200805,1800,12782,12795,12780,12795,633
20200805,1900,12794,12806,12794,12802,942
20200805,2000,12802,12824,12797,12818,1288
20200805,2100,12818,12820,12765,12785,2588
20200805,2200,12785,12858,12774,12854,4353
20200805,2300,12855,12875,12845,12851,3921
20200806,0000,12852,12863,12837,12839,1380
20200806,0100,12838,12856,12834,12848,1105
20200806,0200,12849,12851,12835,12837,556
20200806,0300,12838,12844,12823,12826,650
20200806,0400,12826,12842,12806,12829,1040
20200806,0500,12828,12831,12810,12821,648
20200806,0945,12822,12925,12822,12904,22755
20200806,1045,12905,12914,12753,12782,25976
20200806,1145,12781,12825,12760,12820,9544
20200806,1245,12821,12834,12785,12810,5694
20200806,1345,12809,12843,12799,12835,6646
20200806,1600,12836,12875,12822,12852,3418
20200806,1700,12852,12857,12833,12849,1652
